DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
10288,287,10288,2.809404064837122,0,57.198384262457864,0,0,2,2
10289,288,10289,2.807507370314201,0,-527.2330298396166,0,0,2,2
10290,289,10290,2.821181982173161,0,73.12821821299049,0,0,2,2
10291,290,10291,2.825682666811738,0,222.18841805282491,0,0,2,2
10292,291,10292,2.850877882130907,0,39.690075569196324,0,0,2,2
10293,292,10293,2.8515551701707165,0,1476.4766852836376,0,0,2,2
10294,293,10294,2.866291077630187,0,67.86144679249529,0,0,2,2
10295,294,10295,2.866111168847195,0,-5558.372322733065,0,0,2,2
10296,295,10296,2.9207851061764103,0,18.29025032491385,0,0,2,2
10297,296,10297,2.931162450148424,0,96.3637711823828,0,0,2,2
10298,297,10298,2.9778362480661515,0,21.425297374829235,0,0,2,2
10299,298,10299,3.01627873323918,0,26.01288640677196,0,0,2,2
10300,299,10300,3.016198158283057,0,-12410.804152050085,0,0,2,2
10301,300,10301,3.045499202837579,0,34.12847614149878,0,0,2,2
10302,301,10302,3.0655937587215054,0,49.7647226331538,0,0,2,2
10303,302,10303,3.0957710911364673,0,33.137455168310396,0,0,2,2
10304,303,10304,3.0955791720692636,0,-5210.529701764714,0,0,2,2
10305,304,10305,3.0955791720692636,0,90000000000,0,0,2,2
10306,305,10306,3.095579172069278,0,70368744177664.0,0,0,2,2
10307,306,10307,3.0955791720692636,0,-70368744177664.0,0,0,2,2
10308,307,10308,3.0955791720692636,0,90000000000,0,0,2,2
10309,308,10309,3.0955791720692636,0,90000000000,0,0,2,2
10310,309,10310,3.0955791720692636,0,90000000000,0,0,2,2
10311,310,10311,3.095579172069278,0,70368744177664.0,0,0,2,2
10312,311,10312,3.0955791720692636,0,-70368744177664.0,0,0,2,2
10313,312,10313,3.0955791720692636,0,90000000000,0,0,2,2
10314,313,10314,3.0955791720692636,0,90000000000,0,0,2,2
10315,314,10315,3.0955791720692636,0,90000000000,0,0,2,2
10316,315,10316,3.095579172069278,0,70368744177664.0,0,0,2,2
10317,316,10317,3.0955791720692636,0,-70368744177664.0,0,0,2,2
10318,317,10318,3.0955791720692636,0,90000000000,0,0,2,2
10319,318,10319,3.0955791720692636,0,90000000000,0,0,2,2
10320,319,10320,3.0955791720692636,0,90000000000,0,0,2,2
10321,320,10321,3.0955791720692636,0,90000000000,0,0,2,2
10322,321,10322,3.0955791720692774,0,72638703667266.06,0,0,2,2
10323,322,10323,3.0955791720692636,0,-72638703667266.06,0,0,2,2
10324,323,10324,3.0955791720692636,0,90000000000,0,0,2,2
10325,324,10325,3.0955791720692636,0,90000000000,0,0,2,2
10326,325,10326,3.0955791720692636,0,90000000000,0,0,2,2
10327,326,10327,3.095579172069278,0,70368744177664.0,0,0,2,2
10328,327,10328,3.0955791720692636,0,-70368744177664.0,0,0,2,2
10329,328,10329,3.0955791720692636,0,90000000000,0,0,2,2
10330,329,10330,3.0955791720692636,0,90000000000,0,0,2,2
10331,330,10331,3.0955791720692636,0,90000000000,0,0,2,2
10332,331,10332,3.095579172069278,0,70368744177664.0,0,0,2,2
10333,332,10333,3.0955791720692636,0,-70368744177664.0,0,0,2,2
10334,333,10334,3.0955791720692636,0,90000000000,0,0,2,2
