PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
376,0,0,-22.551,-117.427,1339.443,0,0,0,0
377,0,0,-22.534,-116.409,1339.247,0,0,0,0
378,0,0,-22.507,-114.885,1338.933,0,0,0,0
379,0,0,-22.478,-113.218,1338.531,0,0,0,0
380,0,0,-22.459,-112.196,1338.264,0,0,0,0
381,0,0,-22.429,-110.431,1337.924,0,0,0,0
382,0,0,-22.398,-108.539,1337.607,0,0,0,0
383,0,0,-22.377,-107.311,1337.385,0,0,0,0
384,0,0,-22.348,-105.569,1337.072,0,0,0,0
385,0,0,-22.306,-103.08,1336.649,0,0,0,0
386,0,0,-22.274,-101.113,1336.327,0,0,0,0
387,0,0,-22.247,-99.519,1336.032,0,0,0,0
388,0,0,-22.229,-98.45,1335.834,0,0,0,0
389,0,0,-22.225,-98.243,1335.796,0,0,0,0
390,0,0,-22.187,-99.017,1332.458,0,0,0,0
391,0,0,-22.203,-100.018,1332.62,0,0,0,0
392,0,0,-22.221,-101.109,1332.795,0,0,0,0
393,0,0,-22.254,-103.074,1333.112,0,0,0,0
394,0,0,-22.279,-104.586,1333.355,0,0,0,0
395,0,0,-22.297,-105.693,1333.534,0,0,0,0
396,0,0,-22.334,-107.941,1333.896,0,0,0,0
397,0,0,-22.352,-108.971,1334.064,0,0,0,0
398,0,0,-22.379,-110.609,1334.332,0,0,0,0
399,0,0,-22.398,-111.794,1334.525,0,0,0,0
400,0,0,-22.417,-112.933,1334.709,0,0,0,0
401,0,0,-22.433,-114.054,1334.689,0,0,0,0
402,0,0,-22.453,-115.277,1334.905,0,0,0,0
403,0,0,-22.471,-116.368,1335.081,0,0,0,0
404,0,0,-22.498,-117.984,1335.359,0,0,0,0
405,0,0,-22.52,-119.177,1335.65,0,0,0,0
406,0,0,-22.549,-120.823,1336.052,0,0,0,0
407,0,0,-22.573,-122.315,1336.284,0,0,0,0
408,0,0,-22.598,-123.785,1336.511,0,0,0,0
409,0,0,-22.616,-124.926,1336.688,0,0,0,0
410,0,0,-22.637,-126.165,1336.879,0,0,0,0
411,0,0,-22.661,-127.65,1337.113,0,0,0,0
412,0,0,-22.697,-129.805,1337.453,0,0,0,0
413,0,0,-22.722,-131.323,1337.692,0,0,0,0
414,0,0,-22.746,-132.787,1337.923,0,0,0,0
415,0,0,-22.771,-134.291,1338.16,0,0,0,0
416,0,0,-22.795,-135.769,1338.392,0,0,0,0
417,0,0,-22.82,-137.259,1338.627,0,0,0,0
418,0,0,-22.844,-138.751,1338.862,0,0,0,0
419,0,0,-22.869,-140.227,1339.094,0,0,0,0
420,0,0,-22.894,-141.734,1339.333,0,0,0,0
421,0,0,-22.918,-143.194,1339.562,0,0,0,0
422,0,0,-22.943,-144.718,1339.802,0,0,0,0
423,0,0,-22.967,-146.162,1340.029,0,0,0,0
424,0,0,-22.986,-147.346,1340.216,0,0,0,0
425,0,0,-23.01,-148.793,1340.445,0,0,0,0
426,0,0,-23.035,-150.315,1340.684,0,0,0,0
427,0,0,-23.059,-151.766,1340.913,0,0,0,0
428,0,0,-23.084,-153.283,1341.152,0,0,0,0
429,0,0,-23.108,-154.739,1341.382,0,0,0,0
430,0,0,-23.133,-156.252,1341.62,0,0,0,0
431,0,0,-23.157,-157.712,1341.849,0,0,0,0
432,0,0,-23.182,-159.22,1342.086,0,0,0,0
433,0,0,-23.206,-160.687,1342.316,0,0,0,0
434,0,0,-23.231,-162.188,1342.552,0,0,0,0
435,0,0,-23.242,-162.879,1342.661,0,0,0,0
436,0,0,-24.622,-171.737,1427.5,0,0,0,0
437,0,0,-24.608,-171.88,1426.472,0,0,0,0
438,0,0,-24.588,-172.098,1424.903,0,0,0,0
439,0,0,-24.575,-172.241,1423.872,0,0,0,0
440,0,0,-24.56,-172.414,1422.678,0,0,0,0
441,0,0,-24.542,-172.621,1421.25,0,0,0,0
442,0,0,-24.528,-172.777,1420.178,0,0,0,0
443,0,0,-24.511,-172.995,1418.814,0,0,0,0
444,0,0,-24.495,-173.208,1417.531,0,0,0,0
445,0,0,-24.477,-173.43,1416.113,0,0,0,0
446,0,0,-24.459,-173.672,1414.632,0,0,0,0
447,0,0,-24.442,-173.9,1413.241,0,0,0,0
448,0,0,-24.425,-174.116,1411.906,0,0,0,0
449,0,0,-24.406,-174.36,1410.427,0,0,0,0
450,0,0,-24.391,-174.56,1409.193,0,0,0,0
451,0,0,-24.373,-174.793,1407.741,0,0,0,0
452,0,0,-24.354,-175.026,1406.259,0,0,0,0
453,0,0,-24.336,-175.263,1404.777,0,0,0,0
454,0,0,-24.317,-175.495,1403.296,0,0,0,0
455,0,0,-24.299,-175.733,1401.815,0,0,0,0
456,0,0,-24.28,-175.965,1400.333,0,0,0,0
457,0,0,-24.262,-176.203,1398.852,0,0,0,0
458,0,0,-24.243,-176.435,1397.371,0,0,0,0
459,0,0,-24.224,-176.673,1395.89,0,0,0,0
460,0,0,-24.208,-176.882,1394.55,0,0,0,0
461,0,0,-24.194,-177.061,1393.431,0,0,0,0
462,0,0,-24.17,-177.358,1391.542,0,0,0,0
463,0,0,-24.156,-177.522,1390.433,0,0,0,0
464,0,0,-24.146,-177.65,1389.634,0,0,0,0
465,0,0,-24.205,-181.35,1390.119,0,0,0,0
466,0,0,-24.222,-181.126,1391.489,0,0,0,0
467,0,0,-24.238,-180.942,1392.752,0,0,0,0
468,0,0,-24.26,-180.668,1394.46,0,0,0,0
469,0,0,-24.276,-180.467,1395.713,0,0,0,0
470,0,0,-24.292,-180.257,1397.005,0,0,0,0
471,0,0,-24.313,-179.988,1398.674,0,0,0,0
472,0,0,-24.329,-179.783,1399.968,0,0,0,0
473,0,0,-24.35,-179.521,1401.634,0,0,0,0
474,0,0,-24.366,-179.315,1402.937,0,0,0,0
